path	format	strict_xml	root_signature	doctype	primary_text_paths	errors
CME/source/CME_additions/CME301.xml	ets-temphead-eebo	yes	ETS/TEMPHEAD/EEBO	ETS	ETS/EEBO/TEXT	
CME/source/CME_additions/CME302.xml	ets-temphead-eebo	yes	ETS/TEMPHEAD/EEBO	ETS	ETS/EEBO/TEXT	
CME/source/CME_from_CTA/DunTwa.xml	dlpstextclass	yes	DLPSTEXTCLASS/HEADER/TEXT		DLPSTEXTCLASS/TEXT	
CME/source/CME_from_OTA/AllitMA.xml	dlpstextclass	yes	DLPSTEXTCLASS/HEADER/TEXT		DLPSTEXTCLASS/TEXT	
CME/source/CME_from_OTA/CME90022.xml	ets-temphead-eebo	no	ETS/TEMPHEAD/EEBO	ETS	ETS/EEBO/TEXT	<string>:314:1:FATAL:PARSER:ERR_GT_REQUIRED: expected '>'
CME/source/CME_from_OTA/CME90033.xml	ets-temphead-eebo	yes	ETS/TEMPHEAD/EEBO	ETS	ETS/EEBO/TEXT	
CME/source/CME_from_OTA/CME90053.xml	ets-temphead-eebo	yes	ETS/TEMPHEAD/EEBO	ETS	ETS/EEBO/TEXT	
CME/source/CME_from_OTA/CME90162.xml	ets-temphead-eebo	yes	ETS/TEMPHEAD/EEBO	ETS	ETS/EEBO/TEXT	
CME/source/CME_from_OTA/CME90174.xml	ets-temphead-eebo	yes	ETS/TEMPHEAD/EEBO	ETS	ETS/EEBO/TEXT	
CME/source/CME_from_OTA/CT.xml	dlpstextclass	yes	DLPSTEXTCLASS/HEADER/TEXT		DLPSTEXTCLASS/TEXT	
CME/source/CME_from_OTA/ChancEng.xml	dlpstextclass	yes	DLPSTEXTCLASS/HEADER/TEXT		DLPSTEXTCLASS/TEXT	
CME/source/CME_from_OTA/Everyman.xml	dlpstextclass	yes	DLPSTEXTCLASS/HEADER/TEXT		DLPSTEXTCLASS/TEXT	
CME/source/CME_from_OTA/Gawain.xml	dlpstextclass	yes	DLPSTEXTCLASS/HEADER/TEXT		DLPSTEXTCLASS/TEXT	
CME/source/CME_from_OTA/Herebert.xml	dlpstextclass	yes	DLPSTEXTCLASS/HEADER/TEXT		DLPSTEXTCLASS/TEXT	
